Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
2764,A,Martinez L.,Inter,373,357,16.0,10.971,34,34,0,373,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0
2097,A,Kean,Fiorentina,364,436,-72.0,11.742,31,33,-2,364,32,31,2704,30.0,19,3,22,18,1,2,6,0,19.4,17.9,1.9,19.7,42,26,143
4871,A,Thuram,Inter,337,360,-23.0,10.871,31,29,2,337,32,27,2290,25.4,14,4,18,14,0,0,1,0,9.9,9.9,4.4,14.3,62,53,170
5544,A,David,Juventus,266,,,9.852,27,27,0,266,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3
6434,A,Yildiz,Juventus,220,83,137.0,8.800,25,25,0,220,,,,,,,,,,,,,,,,,,,
309,A,Dybala,Roma,218,141,77.0,8.074,27,27,0,218,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122
4510,A,Leao,Milan,210,174,36.0,9.130,23,24,-1,210,,,,,,,,,,,,,,,,,,,
6226,A,Castellanos,Lazio,198,192,6.0,9.000,22,21,1,198,29,28,2384,26.5,10,3,13,8,2,3,9,1,13.4,11.3,3.6,14.9,27,66,149
6052,A,Hojlund,Napoli,186,,,7.750,24,24,0,186,,,,,,,,,,,,,,,,,,,
6365,A,Ferguson E.,Roma,162,,,8.526,19,19,0,162,16,10,983,10.9,1,1,2,0,1,1,0,0,1.0,0.2,1.1,1.3,20,53,26
5734,A,Soulè,Roma,153,,,7.286,21,21,0,153,,,,,,,,,,,,,,,,,,,
6435,A,Krstovic,Atalanta,148,107,41.0,7.400,20,20,0,148,,,,,,,,,,,,,,,,,,,
6314,A,Openda,Juventus,147,,,6.682,22,22,0,147,,,,,,,,,,,,,,,,,,,
531,A,Berardi,Sassuolo,144,,,6.857,21,21,0,144,,,,,,,,,,,,,,,,,,,
5995,A,De Ketelaere,Atalanta,142,81,61.0,6.455,22,23,-1,142,36,25,2070,23.0,7,7,14,7,0,0,1,0,7.3,7.3,6.0,13.2,108,140,211
4728,A,Nkunku,Milan,135,,,6.750,20,20,0,135,,,,,,,,,,,,,,,,,,,
6572,A,Castro S.,Bologna,128,64,64.0,6.400,20,19,1,128,36,27,2294,25.5,8,4,12,8,0,1,7,0,7.7,6.9,2.9,9.8,17,39,136
2841,A,Vlahovic,Juventus,126,163,-37.0,4.846,26,24,2,126,,,,,,,,,,,,,,,,,,,
4730,A,Lookman,Atalanta,123,391,-268.0,4.241,29,30,-1,123,31,28,2247,25.0,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316
2531,A,Lukaku,Napoli,120,427,-307.0,4.000,30,31,-1,120,36,35,2843,31.6,14,10,24,11,3,4,4,0,13.0,9.8,3.9,13.8,31,36,219
2137,A,Scamacca,Atalanta,119,70,49.0,5.950,20,19,1,119,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0
7008,A,Gimenez,Milan,113,130,-17.0,4.708,24,25,-1,113,,,,,,,,,,,,,,,,,,,
5672,A,Dia,Lazio,102,89,13.0,4.857,21,20,1,102,35,27,2177,24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114
785,A,Immobile,Bologna,100,,,5.263,19,19,0,100,,,,,,,,,,,,,,,,,,,
608,A,Zapata D.,Torino,87,90,0.0,4.737,19,20,-1,90,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36
2038,A,Pinamonti,Sassuolo,79,85,-3.0,5.125,16,16,0,82,36,33,2850,31.7,10,1,11,10,0,1,4,0,7.7,7.0,1.7,8.7,20,46,132
4359,A,Piccoli,Fiorentina,77,85,-5.0,4.706,17,17,0,80,37,37,3127,34.7,10,1,11,9,1,1,6,0,12.7,12.0,0.9,12.9,30,37,165
313,A,Morata,Como,75,,,4.333,18,18,0,78,16,13,1099,12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7,18,26,63
6215,A,Lucca,Napoli,72,100,-28.0,5.538,13,14,-1,72,33,27,2353,26.1,12,1,13,11,1,1,10,0,7.6,6.8,1.6,8.4,15,18,98
6675,A,Dovbyk,Roma,70,260,-190.0,3.500,20,21,-1,70,32,27,2418,26.9,12,2,14,10,2,2,0,0,11.9,10.3,2.4,12.7,24,16,175
7023,A,Pellegrino M.,Parma,67,28,42.0,5.833,12,12,0,70,13,8,737,8.2,3,1,4,3,0,0,2,0,3.3,3.3,0.7,4.0,6,15,37
4463,A,Esposito Se.,Cagliari,66,43,23.0,9.429,7,7,0,66,33,27,2331,25.9,8,0,8,7,1,2,1,0,5.7,4.2,2.1,6.3,31,93,106
