Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
5513,D,Dumfries,Inter,107,105,2.0,5.350,20,19,1,107,29,20,1955,21.7,7,2,9,7,0,0,4,0,5.4,5.4,3.2,8.6,55,51,173
254,D,Dimarco,Inter,94,98,-4.0,5.222,18,18,0,94,33,29,2177,24.2,4,7,11,4,0,0,3,0,3.3,3.3,6.1,9.5,47,83,232
2160,D,Gosens,Fiorentina,83,74,9.0,4.882,17,17,0,83,32,29,2521,28.0,5,5,10,5,0,0,6,0,1.8,1.8,2.4,4.1,31,102,91
2120,D,Bastoni,Inter,76,86,-10.0,4.471,17,16,1,76,33,31,2401,26.7,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83
5520,D,Cambiaso,Juventus,56,36,20.0,4.308,13,14,-1,56,33,25,2221,24.7,2,3,5,2,0,0,4,0,0.7,0.7,2.6,3.3,78,111,122
2816,D,Di Lorenzo,Napoli,53,66,-13.0,3.786,14,14,0,53,37,37,3330,37.0,3,2,5,3,0,0,6,0,2.8,2.8,3.9,6.7,50,224,163
4772,D,Angelino,Roma,52,50,2.0,3.714,14,14,0,52,38,36,3177,35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172
7181,D,Wesley,Roma,52,,,3.714,14,13,1,52,,,,,,,,,,,,,,,,,,,
4887,D,Bellanova,Atalanta,51,55,-4.0,4.250,12,12,0,51,34,27,2402,26.7,0,9,9,0,0,0,3,0,1.1,1.1,4.7,5.8,83,87,191
2788,D,Bremer,Juventus,50,39,11.0,3.846,13,13,0,50,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0
5885,D,Dodò,Fiorentina,44,,,4.000,11,10,1,44,,,,,,,,,,,,,,,,,,,
5620,D,Tavares N.,Lazio,43,36,7.0,3.583,12,12,0,43,23,22,1686,18.7,0,8,8,0,0,0,4,1,1.1,1.1,4.8,5.9,98,111,100
2724,D,Buongiorno,Napoli,42,57,-15.0,3.231,13,13,0,42,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8
4433,D,Zortea,Bologna,24,83,-43.0,2.667,15,15,0,40,35,33,2713,30.1,6,2,8,6,0,0,2,0,3.1,3.1,2.4,5.5,69,63,144
6956,D,Solet,Udinese,40,42,-2.0,3.636,11,11,0,40,19,19,1672,18.6,1,2,3,1,0,0,3,1,0.8,0.8,1.2,2.0,20,65,6
5273,D,Estupinan,Milan,39,,,3.250,12,11,1,39,,,,,,,,,,,,,,,,,,,
6046,D,Hien,Atalanta,34,21,13.0,3.400,10,11,-1,34,30,27,2327,25.9,0,0,0,0,0,0,10,0,1.0,1.0,0.1,1.1,7,51,3
4409,D,Rrahmani,Napoli,32,54,-22.0,2.909,11,11,0,32,38,38,3406,37.8,1,3,4,1,0,0,2,0,2.9,2.9,1.1,3.9,30,188,2
2593,D,Martin,Genoa,32,52,-20.0,3.200,10,10,0,32,8,5,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,11,1
5877,D,Carlos Augusto,Inter,35,33,-2.0,2.818,11,11,0,31,29,15,1691,18.8,3,2,5,3,0,0,1,0,2.8,2.8,1.6,4.4,31,80,83
554,D,Zappacosta,Atalanta,30,33,-3.0,2.500,12,12,0,30,30,26,2067,23.0,4,2,6,4,0,0,3,0,2.2,2.2,2.1,4.3,67,107,139
2296,D,Mancini,Roma,30,33,-3.0,2.727,11,11,0,30,37,36,3143,34.9,2,0,2,2,0,0,8,0,1.7,1.7,0.9,2.6,45,139,23
4976,D,Kalulu,Juventus,31,23,5.0,2.800,10,10,0,28,29,25,2337,26.0,1,0,1,1,0,0,2,1,0.7,0.7,0.5,1.2,48,117,24
5862,D,Valeri,Parma,27,31,-4.0,2.700,10,10,0,27,35,34,2873,31.9,2,6,8,1,1,1,1,0,1.8,1.0,4.7,5.8,79,93,109
4317,D,N'Dicka,Roma,26,27,-1.0,2.364,11,10,1,26,38,38,3420,38.0,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.8,29,107,5
513,D,Acerbi,Inter,26,28,-2.0,2.889,9,9,0,26,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,62,22
4751,D,Tomori,Milan,25,18,7.0,3.125,8,8,0,25,22,19,1593,17.7,0,1,1,0,0,0,4,1,0.1,0.1,0.7,0.8,8,63,3
5526,D,Scalvini,Atalanta,24,7,17.0,3.000,8,8,0,24,6,4,272,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,20,7
252,D,Biraghi,Torino,23,18,5.0,2.875,8,8,0,23,15,13,1158,12.9,0,0,0,0,0,0,0,0,0.5,0.5,2.7,3.1,24,36,49
5835,D,Baschirotto,Cremonese,23,18,5.0,2.556,9,8,1,23,38,38,3420,38.0,2,0,2,2,0,0,3,0,1.2,1.2,0.2,1.4,13,71,5
2188,D,Marusic,Lazio,26,29,-6.0,2.556,9,9,0,23,,,,,,,,,,,,,,,,,,,
460,D,Romagnoli,Lazio,22,27,-5.0,3.143,7,8,-1,22,32,31,2672,29.7,2,0,2,2,0,0,4,2,2.4,2.4,0.3,2.6,8,90,4
5578,D,Kossounou,Atalanta,24,13,9.0,2.750,8,9,-1,22,18,12,1125,12.5,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,13,46,14
5840,D,Olivera,Napoli,21,20,1.0,2.100,10,10,0,21,32,26,2370,26.3,0,2,2,0,0,0,4,0,1.1,1.1,1.7,2.8,46,126,62
4734,D,Miranda J.,Bologna,21,30,-9.0,2.625,8,9,-1,21,31,25,2277,25.3,0,6,6,0,0,0,4,1,0.7,0.7,6.1,6.8,34,163,88
5022,D,Pavlovic,Milan,21,16,5.0,2.333,9,7,2,21,,,,,,,,,,,,,,,,,,,
6664,D,Delprato,Parma,24,22,-1.0,2.100,10,9,1,21,,,,,,,,,,,,,,,,,,,
6042,D,Lucumì,Bologna,21,,,2.625,8,8,0,21,,,,,,,,,,,,,,,,,,,
4210,D,Mina,Cagliari,21,23,-2.0,3.000,7,7,0,21,31,31,2569,28.5,1,0,1,1,0,0,6,1,2.3,2.3,0.3,2.6,17,76,9
6217,D,Bisseck,Inter,20,25,-5.0,2.500,8,9,-1,20,27,17,1643,18.3,3,2,5,3,0,0,4,0,2.6,2.6,0.9,3.4,32,93,44
322,D,De Vrij,Inter,20,25,-5.0,2.500,8,9,-1,20,26,18,1726,19.2,3,0,3,3,0,0,2,0,1.1,1.1,0.0,1.1,11,76,5
4159,D,Akanji,Inter,20,,,2.222,9,9,0,20,,,,,,,,,,,,,,,,,,,
5833,D,Gila,Lazio,20,22,-2.0,2.222,9,9,0,20,32,31,2741,30.5,1,0,1,1,0,0,8,0,1.1,1.1,0.6,1.7,48,157,12
5514,D,Vasquez,Genoa,23,38,-18.0,1.818,11,10,1,20,,,,,,,,,,,,,,,,,,,
4385,D,Lazaro,Torino,19,23,-4.0,3.167,6,7,-1,19,33,26,2307,25.6,0,6,6,0,0,0,6,0,1.0,1.0,3.3,4.4,35,76,131
6632,D,Gaspar K.,Lecce,19,22,-3.0,2.375,8,8,0,19,,,,,,,,,,,,,,,,,,,
5555,D,Kamara H.,Udinese,19,14,5.0,2.714,7,7,0,19,30,25,2001,22.2,1,4,5,1,0,0,8,1,0.9,0.9,2.7,3.6,52,61,103
6202,D,Beukema,Napoli,18,24,-6.0,2.000,9,10,-1,18,35,33,3012,33.5,0,1,1,0,0,0,1,0,1.5,1.5,0.9,2.4,27,153,9
393,D,Luperto,Cagliari,18,21,-3.0,2.000,9,7,2,18,36,36,3240,36.0,1,3,4,1,0,0,4,0,2.2,2.2,1.3,3.4,22,96,11
5427,D,Gutierrez,Napoli,18,,,2.571,7,8,-1,18,,,,,,,,,,,,,,,,,,,
7068,D,Vitik,Bologna,18,,,2.250,8,8,0,18,,,,,,,,,,,,,,,,,,,
6495,D,Comuzzo,Fiorentina,17,14,3.0,2.125,8,7,1,17,33,24,2200,24.4,1,0,1,1,0,0,5,0,0.5,0.5,0.6,1.1,14,75,12
7175,D,Joao Mario,Juventus,14,,,2.429,7,7,0,17,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,5
5739,D,De Winter,Milan,19,22,-5.0,2.125,8,9,-1,17,25,23,2135,23.7,3,0,3,3,0,0,6,0,2.1,2.1,0.2,2.3,10,56,10
6672,D,Idzes,Sassuolo,17,18,-1.0,2.429,7,7,0,17,35,35,3127,34.7,1,0,1,1,0,0,5,0,1.8,1.8,0.7,2.5,15,84,15
7143,D,Angori,Pisa,17,,,2.833,6,5,1,17,,,,,,,,,,,,,,,,,,,
5851,D,Doig,Sassuolo,17,,,2.833,6,6,0,17,,,,,,,,,,,,,,,,,,,
4378,D,Ranieri L.,Fiorentina,17,16,0.0,2.000,8,7,1,16,36,35,3071,34.1,1,3,4,1,0,0,7,0,1.1,1.1,1.7,2.7,25,80,11
4401,D,Gabbia,Milan,16,12,4.0,2.286,7,6,1,16,26,24,2152,23.9,2,0,2,2,0,0,4,0,1.1,1.1,0.2,1.3,13,74,2
5603,D,Pongracic,Fiorentina,16,13,3.0,3.200,5,5,0,16,,,,,,,,,,,,,,,,,,,
4807,D,Hermoso,Roma,15,,,3.750,4,3,1,15,8,2,251,2.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,3,14,5
2640,D,Kolasinac,Atalanta,18,21,-6.0,2.500,6,7,-1,15,,,,,,,,,,,,,,,,,,,
6893,D,Kempf,Como,15,14,1.0,2.500,6,5,1,15,31,30,2615,29.1,0,0,0,0,0,0,6,1,1.6,1.6,1.2,2.7,17,85,4
4502,D,Gallo,Lecce,15,13,2.0,2.500,6,5,1,15,31,31,2609,29.0,0,2,2,0,0,0,3,1,0.3,0.3,2.7,3.0,57,107,110
787,D,Djimsiti,Atalanta,15,23,-8.0,1.875,8,8,0,15,34,32,2640,29.3,1,2,3,1,0,0,6,0,2.7,2.7,1.3,3.9,32,109,42
5678,D,Holm,Bologna,15,12,3.0,2.143,7,8,-1,15,21,12,1137,12.6,1,1,2,1,0,0,3,0,0.6,0.6,0.7,1.3,29,49,43
6047,D,Ehizibue,Udinese,15,11,4.0,3.000,5,5,0,15,33,30,2498,27.8,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.5,54,55,116
2525,D,Darmian,Inter,16,15,-1.0,3.500,4,5,-1,14,29,20,1781,19.8,3,2,5,3,0,0,3,0,1.9,1.9,1.5,3.5,14,45,102
6766,D,Kelly L.,Juventus,17,13,1.0,1.750,8,8,0,14,12,11,1013,11.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,10,36,26
256,D,Juan Jesus,Napoli,17,9,5.0,3.500,4,3,1,14,15,12,1074,11.9,0,1,1,0,0,0,2,0,0.3,0.3,0.0,0.4,3,50,2
6985,D,Candè,Sassuolo,14,14,0.0,2.333,6,6,0,14,,,,,,,,,,,,,,,,,,,
7211,D,Athekame,Milan,14,,,2.333,6,6,0,14,,,,,,,,,,,,,,,,,,,
7253,D,Bella-Kotchap,Verona,14,,,2.333,6,6,0,14,,,,,,,,,,,,,,,,,,,
4665,D,Maripan,Torino,13,21,-8.0,1.857,7,7,0,13,,,,,,,,,,,,,,,,,,,
5831,D,Gatti,Juventus,13,15,-2.0,1.625,8,8,0,13,30,26,2195,24.4,1,0,1,1,0,0,2,0,2.5,2.5,0.5,2.9,24,73,6
4994,D,Vojvoda,Como,13,17,-4.0,1.857,7,6,1,13,11,8,717,8.0,1,2,3,1,0,0,2,0,0.2,0.2,2.0,2.3,16,43,40
6986,D,Rensch,Roma,16,10,3.0,2.167,6,6,0,13,14,5,469,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.0,2,14,25
