Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,Partite_Giocate,Partite_Titolare,Minuti_Giocati,Partite_90_Minuti,Gol_Totali,Assist_Totali,Gol_Plus_Assist,Gol_Senza_Rigori,Rigori_Realizzati,Rigori_Tentati,Cartellini_Gialli,Cartellini_Rossi,Expected_Goals,Expected_Goals_Senza_Rigori,Expected_Assist,Expected_Goals_Plus_Assist,Progressioni_Con_Palla,Progressioni_Passaggi,Progressioni_Ricezioni
572,P,Meret,Napoli,95,118,-23.0,5.938,16,16,0,95,34,34,3005,33.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
5876,P,Di Gregorio,Juventus,87,83,4.0,5.118,17,16,1,87,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0
2428,P,Sommer,Inter,86,83,3.0,5.375,16,16,0,86,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
5841,P,Svilar,Roma,85,94,-9.0,5.313,16,15,1,85,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0
4312,P,Maignan,Milan,79,67,12.0,4.938,16,16,0,79,37,37,3294,36.6,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,0,4,0
4431,P,Carnesecchi,Atalanta,66,74,-8.0,4.714,14,14,0,66,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0
2521,P,De Gea,Fiorentina,64,69,-5.0,4.571,14,14,0,64,35,35,3150,35.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0
2814,P,Provedel,Lazio,55,1,54.0,4.583,12,12,0,55,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0
133,P,Skorupski,Bologna,50,40,10.0,4.545,11,10,1,50,27,27,2364,26.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
6966,P,Butez,Como,34,28,6.0,3.091,11,10,1,34,19,18,1666,18.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
7179,P,Israel,Torino,33,,,4.125,8,9,-1,33,,,,,,,,,,,,,,,,,,,
188,P,Leali,Genoa,30,30,0.0,3.333,9,8,1,30,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
4360,P,Caprile,Cagliari,19,27,-8.0,2.375,8,7,1,19,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
2134,P,Falcone,Lecce,18,24,-6.0,2.571,7,6,1,18,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
6462,P,Okoye,Udinese,15,17,-2.0,3.000,5,6,-1,15,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
6641,P,Suzuki,Parma,14,32,-18.0,2.000,7,7,0,14,37,37,3314,36.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0
761,P,Audero,Cremonese,13,,,2.167,6,5,1,13,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
2861,P,Semper,Pisa,12,,,3.000,4,3,1,12,,,,,,,,,,,,,,,,,,,
6842,P,Sava,Udinese,11,1,10.0,2.200,5,4,1,11,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
4957,P,Montipò,Verona,10,,,2.500,4,5,-1,10,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
2170,P,Milinkovic-Savic V.,Napoli,9,66,-57.0,2.250,4,4,0,9,,,,,,,,,,,,,,,,,,,
4867,P,Turati,Sassuolo,7,7,0.0,1.167,6,7,-1,7,30,30,2676,29.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
4236,P,Muric,Sassuolo,7,,,2.333,3,3,0,7,,,,,,,,,,,,,,,,,,,
2722,P,Ravaglia F.,Bologna,5,1,4.0,1.667,3,3,0,5,12,11,1056,11.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
6482,P,Mandas,Lazio,3,41,-38.0,1.000,3,3,0,3,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0
574,P,Scuffet,Pisa,3,1,2.0,1.000,3,3,0,3,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
5116,P,Martinez Jo.,Inter,3,1,2.0,1.500,2,2,0,3,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0
2809,P,Vigorito,Como,1,1,0.0,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
4,P,Sportiello,Atalanta,1,1,0.0,1.000,1,1,0,1,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
7172,P,Pessina Mas.,Bologna,1,,,1.000,1,1,0,1,11,10,854,9.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,8,28,20
4929,P,Ciocci,Cagliari,1,1,0.0,1.000,1,1,0,1,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
3,P,Radunovic,Cagliari,1,,,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
2297,P,Rossi F.,Atalanta,1,1,0.0,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
6505,P,Nava,Cremonese,1,1,0.0,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
6184,P,Martinelli T.,Fiorentina,1,1,0.0,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
6991,P,Siegrist,Genoa,1,1,0.0,1.000,1,1,0,1,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
219,P,Sommariva,Genoa,1,1,0.0,1.000,1,1,0,1,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1926,P,Di Gennaro,Inter,1,1,0.0,1.000,1,1,0,1,,,,,,,,,,,,,,,,,,,
