Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Nome_Giocatore,Squadra,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni,FVM_Qt_Ratio,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale
5876,P,Di Gregorio,Juventus,87,83,4.0,5.118,17,16,1,87
2428,P,Sommer,Inter,86,83,3.0,5.375,16,16,0,86
4312,P,Maignan,Milan,79,67,12.0,4.938,16,16,0,79
572,P,Meret,Napoli,95,118,-23.0,5.938,16,16,0,95
5841,P,Svilar,Roma,85,94,-9.0,5.313,16,15,1,85
4431,P,Carnesecchi,Atalanta,66,74,-8.0,4.714,14,14,0,66
2521,P,De Gea,Fiorentina,64,69,-5.0,4.571,14,14,0,64
2814,P,Provedel,Lazio,55,1,54.0,4.583,12,12,0,55
133,P,Skorupski,Bologna,50,40,10.0,4.545,11,10,1,50
6966,P,Butez,Como,34,28,6.0,3.091,11,10,1,34
188,P,Leali,Genoa,30,30,0.0,3.333,9,8,1,30
4360,P,Caprile,Cagliari,19,27,-8.0,2.375,8,7,1,19
7179,P,Israel,Torino,33,,,4.125,8,9,-1,33
2134,P,Falcone,Lecce,18,24,-6.0,2.571,7,6,1,18
6641,P,Suzuki,Parma,14,32,-18.0,2.000,7,7,0,14
761,P,Audero,Cremonese,13,,,2.167,6,5,1,13
4867,P,Turati,Sassuolo,7,7,0.0,1.167,6,7,-1,7
6462,P,Okoye,Udinese,15,17,-2.0,3.000,5,6,-1,15
6842,P,Sava,Udinese,11,1,10.0,2.200,5,4,1,11
2170,P,Milinkovic-Savic V.,Napoli,9,66,-57.0,2.250,4,4,0,9
2861,P,Semper,Pisa,12,,,3.000,4,3,1,12
4957,P,Montipò,Verona,10,,,2.500,4,5,-1,10
2722,P,Ravaglia F.,Bologna,5,1,4.0,1.667,3,3,0,5
6482,P,Mandas,Lazio,3,41,-38.0,1.000,3,3,0,3
574,P,Scuffet,Pisa,3,1,2.0,1.000,3,3,0,3
4236,P,Muric,Sassuolo,7,,,2.333,3,3,0,7
5116,P,Martinez Jo.,Inter,3,1,2.0,1.500,2,2,0,3
2297,P,Rossi F.,Atalanta,1,1,0.0,1.000,1,1,0,1
4,P,Sportiello,Atalanta,1,1,0.0,1.000,1,1,0,1
7172,P,Pessina Mas.,Bologna,1,,,1.000,1,1,0,1
4929,P,Ciocci,Cagliari,1,1,0.0,1.000,1,1,0,1
3,P,Radunovic,Cagliari,1,,,1.000,1,1,0,1
2809,P,Vigorito,Como,1,1,0.0,1.000,1,1,0,1
6505,P,Nava,Cremonese,1,1,0.0,1.000,1,1,0,1
6184,P,Martinelli T.,Fiorentina,1,1,0.0,1.000,1,1,0,1
6991,P,Siegrist,Genoa,1,1,0.0,1.000,1,1,0,1
219,P,Sommariva,Genoa,1,1,0.0,1.000,1,1,0,1
1926,P,Di Gennaro,Inter,1,1,0.0,1.000,1,1,0,1
218,P,Perin,Juventus,1,1,0.0,1.000,1,1,0,1
1930,P,Pinsoglio,Juventus,1,1,0.0,1.000,1,1,0,1
6417,P,Furlanetto,Lazio,1,1,0.0,1.000,1,1,0,1
2401,P,Fruchtl,Lecce,1,1,0.0,1.000,1,1,0,1
6523,P,Samooja,Lecce,1,1,0.0,1.000,1,1,0,1
2815,P,Terracciano,Milan,1,1,0.0,1.000,1,1,0,1
6813,P,Torriani,Milan,1,1,0.0,1.000,1,1,0,1
