Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
ID_Giocatore,Ruolo,Ruolo_Multiplo,Nome_Giocatore,Squadra,Quotazione_Attuale,Quotazione_Iniziale,Differenza_Prezzo,Quotazione_Attuale_Mercato,Quotazione_Iniziale_Mercato,Differenza_Prezzo_Mercato,FVM_Attuale,FVM_Mercato,FVM_Stagione_Precedente,Differenza_FVM_Stagioni
5876,P,Por,Di Gregorio,Juventus,17,16,1,17,16,1,87,87,83,4.0
2428,P,Por,Sommer,Inter,16,16,0,16,16,0,86,86,83,3.0
4312,P,Por,Maignan,Milan,16,16,0,16,16,0,79,79,67,12.0
572,P,Por,Meret,Napoli,16,16,0,16,16,0,95,95,118,-23.0
5841,P,Por,Svilar,Roma,16,15,1,16,15,1,85,85,94,-9.0
4431,P,Por,Carnesecchi,Atalanta,14,14,0,14,14,0,66,66,74,-8.0
2521,P,Por,De Gea,Fiorentina,14,14,0,14,14,0,64,64,69,-5.0
2814,P,Por,Provedel,Lazio,12,12,0,12,12,0,55,55,1,54.0
133,P,Por,Skorupski,Bologna,11,10,1,11,10,1,50,50,40,10.0
6966,P,Por,Butez,Como,11,10,1,11,10,1,34,34,28,6.0
188,P,Por,Leali,Genoa,9,8,1,9,8,1,30,30,30,0.0
4360,P,Por,Caprile,Cagliari,8,7,1,8,7,1,19,19,27,-8.0
7179,P,Por,Israel,Torino,8,9,-1,8,9,-1,33,33,,
2134,P,Por,Falcone,Lecce,7,6,1,7,6,1,18,18,24,-6.0
6641,P,Por,Suzuki,Parma,7,7,0,7,7,0,14,14,32,-18.0
761,P,Por,Audero,Cremonese,6,5,1,6,5,1,13,13,,
4867,P,Por,Turati,Sassuolo,6,7,-1,6,7,-1,7,7,7,0.0
6462,P,Por,Okoye,Udinese,5,6,-1,5,6,-1,15,15,17,-2.0
6842,P,Por,Sava,Udinese,5,4,1,5,4,1,11,11,1,10.0
2170,P,Por,Milinkovic-Savic V.,Napoli,4,4,0,4,4,0,9,9,66,-57.0
2861,P,Por,Semper,Pisa,4,3,1,4,3,1,12,12,,
4957,P,Por,Montipò,Verona,4,5,-1,4,5,-1,10,10,,
2722,P,Por,Ravaglia F.,Bologna,3,3,0,3,3,0,5,5,1,4.0
6482,P,Por,Mandas,Lazio,3,3,0,3,3,0,3,3,41,-38.0
574,P,Por,Scuffet,Pisa,3,3,0,3,3,0,3,3,1,2.0
4236,P,Por,Muric,Sassuolo,3,3,0,3,3,0,7,7,,
5116,P,Por,Martinez Jo.,Inter,2,2,0,2,2,0,3,3,1,2.0
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1,1,0.0
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1,1,0.0
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1,,
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1,1,0.0
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1,,
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1,1,0.0
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1,1,0.0
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1,1,0.0
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1,1,0.0
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1,1,0.0
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1,1,0.0
218,P,Por,Perin,Juventus,1,1,0,1,1,0,1,1,1,0.0
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1,1,0.0
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1,1,0.0
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1,1,0.0
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1,1,0.0
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1,1,0.0
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1,1,0.0
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1,1,0.0
6662,P,Por,Corvi,Parma,1,1,0,1,1,0,1,1,1,0.0
5338,P,Por,Rinaldi,Parma,1,1,0,1,1,0,1,1,,
2271,P,Por,Nicolas,Pisa,1,1,0,1,1,0,1,1,,
7169,P,Por,Zelezny,Roma,1,1,0,1,1,0,1,1,,
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1,1,0.0
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1,,
5320,P,Por,Paleari,Torino,1,1,0,1,1,0,1,1,1,0.0
6210,P,Por,Popa,Torino,1,1,0,1,1,0,1,1,,
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1,1,0.0
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1,1,0.0
6125,P,Por,Vasquez D.,Roma,1,1,0,1,1,0,1,1,9,-8.0
7185,P,Por,Nunziante,Udinese,1,1,0,1,1,0,1,1,,
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1,,
2211,P,Por,Silvestri,Cremonese,1,1,0,1,1,0,1,1,1,0.0
7236,P,Por,Toniolo,Verona,1,1,0,1,1,0,1,1,,
7261,P,Por,Cavlina,Como,1,1,0,1,1,0,1,1,,
5513,D,E,Dumfries,Inter,21,20,1,20,19,1,107,107,105,2.0
254,D,E,Dimarco,Inter,19,19,0,18,18,0,94,94,98,-4.0
2160,D,E,Gosens,Fiorentina,18,18,0,17,17,0,83,83,74,9.0
2120,D,Dc,Bastoni,Inter,17,16,1,17,16,1,76,76,86,-10.0
4433,D,E,Zortea,Bologna,16,16,0,15,15,0,40,24,83,-43.0
4772,D,E,Angelino,Roma,15,15,0,14,14,0,52,52,50,2.0
7181,D,E,Wesley,Roma,15,14,1,14,13,1,52,52,,
5520,D,E,Cambiaso,Juventus,14,15,-1,13,14,-1,56,56,36,20.0
2816,D,Dd;E,Di Lorenzo,Napoli,14,14,0,14,14,0,53,53,66,-13.0
4887,D,E,Bellanova,Atalanta,13,13,0,12,12,0,51,51,55,-4.0
554,D,E,Zappacosta,Atalanta,13,13,0,12,12,0,30,30,33,-3.0
2788,D,Dc,Bremer,Juventus,13,13,0,13,13,0,50,50,39,11.0
2724,D,Dc,Buongiorno,Napoli,13,13,0,13,13,0,42,42,57,-15.0
5885,D,E,Dodò,Fiorentina,12,11,1,11,10,1,44,44,,
5620,D,Ds;E,Tavares N.,Lazio,12,12,0,12,12,0,43,43,36,7.0
5273,D,Ds;E,Estupinan,Milan,12,11,1,12,11,1,39,39,,
4409,D,Dc,Rrahmani,Napoli,11,11,0,11,11,0,32,32,54,-22.0
2296,D,Dc,Mancini,Roma,11,11,0,11,11,0,30,30,33,-3.0
4317,D,Dc,N'Dicka,Roma,11,10,1,11,10,1,26,26,27,-1.0
6956,D,Dc,Solet,Udinese,11,11,0,11,11,0,40,40,42,-2.0
6046,D,Dc,Hien,Atalanta,10,11,-1,10,11,-1,34,34,21,13.0
5514,D,Ds;Dc,Vasquez,Genoa,10,9,1,11,10,1,20,23,38,-18.0
2593,D,Ds;E,Martin,Genoa,10,10,0,10,10,0,32,32,52,-20.0
5877,D,B;Ds;E,Carlos Augusto,Inter,10,10,0,11,11,0,31,35,33,-2.0
5840,D,Ds;E,Olivera,Napoli,10,10,0,10,10,0,21,21,20,1.0
5862,D,Ds;E,Valeri,Parma,10,10,0,10,10,0,27,27,31,-4.0
393,D,Dc,Luperto,Cagliari,9,7,2,9,7,2,18,18,21,-3.0
513,D,Dc,Acerbi,Inter,9,9,0,9,9,0,26,26,28,-2.0
4976,D,Dd;Dc,Kalulu,Juventus,9,9,0,10,10,0,28,31,23,5.0
5833,D,Dc,Gila,Lazio,9,9,0,9,9,0,20,20,22,-2.0
5835,D,Dc,Baschirotto,Cremonese,9,8,1,9,8,1,23,23,18,5.0
5022,D,Dc,Pavlovic,Milan,9,7,2,9,7,2,21,21,16,5.0
6202,D,Dc,Beukema,Napoli,9,10,-1,9,10,-1,18,18,24,-6.0
6664,D,B;Dd;E,Delprato,Parma,9,8,1,10,9,1,21,24,22,-1.0
4159,D,Dc,Akanji,Inter,9,9,0,9,9,0,20,20,,
787,D,Dc,Djimsiti,Atalanta,8,8,0,8,8,0,15,15,23,-8.0
5526,D,Dc,Scalvini,Atalanta,8,8,0,8,8,0,24,24,7,17.0
5578,D,Dd;Dc,Kossounou,Atalanta,8,9,-1,8,9,-1,22,24,13,9.0
6042,D,Dc,Lucumì,Bologna,8,8,0,8,8,0,21,21,,
7068,D,Dc,Vitik,Bologna,8,8,0,8,8,0,18,18,,
4734,D,Ds;E,Miranda J.,Bologna,8,9,-1,8,9,-1,21,21,30,-9.0
6495,D,Dc,Comuzzo,Fiorentina,8,7,1,8,7,1,17,17,14,3.0
4378,D,Ds;Dc,Ranieri L.,Fiorentina,8,7,1,8,7,1,16,17,16,0.0
6217,D,Dc,Bisseck,Inter,8,9,-1,8,9,-1,20,20,25,-5.0
322,D,Dc,De Vrij,Inter,8,9,-1,8,9,-1,20,20,25,-5.0
5831,D,Dc,Gatti,Juventus,8,8,0,8,8,0,13,13,15,-2.0
7175,D,E,Joao Mario,Juventus,8,8,0,7,7,0,17,14,,
2188,D,Dd;Ds;E,Marusic,Lazio,8,8,0,9,9,0,23,26,29,-6.0
6632,D,Dc,Gaspar K.,Lecce,8,8,0,8,8,0,19,19,22,-3.0
4751,D,Dc,Tomori,Milan,8,8,0,8,8,0,25,25,18,7.0
6642,D,Dc,Coco,Torino,8,8,0,8,8,0,12,12,20,-8.0
252,D,Ds;E,Biraghi,Torino,8,8,0,8,8,0,23,23,18,5.0
5678,D,Dd;E,Holm,Bologna,7,8,-1,7,8,-1,15,15,12,3.0
4210,D,Dc,Mina,Cagliari,7,7,0,7,7,0,21,21,23,-2.0
4994,D,Dd;E,Vojvoda,Como,7,6,1,7,6,1,13,13,17,-4.0
5739,D,Dd;Dc,De Winter,Milan,7,8,-1,8,9,-1,17,19,22,-5.0
6766,D,Ds;Dc,Kelly L.,Juventus,7,7,0,8,8,0,14,17,13,1.0
460,D,Dc,Romagnoli,Lazio,7,8,-1,7,8,-1,22,22,27,-5.0
4401,D,Dc,Gabbia,Milan,7,6,1,7,6,1,16,16,12,4.0
1852,D,Ds;E,Spinazzola,Napoli,7,7,0,7,7,0,10,18,22,-12.0
5010,D,Dc,Ismajli,Torino,7,8,-1,7,8,-1,13,13,21,-8.0
4665,D,Dc,Maripan,Torino,7,7,0,7,7,0,13,13,21,-8.0
6485,D,Dd;Dc,Kristensen T.,Udinese,7,5,2,7,5,2,12,13,10,2.0
5555,D,Ds;E,Kamara H.,Udinese,7,7,0,7,7,0,19,19,14,5.0
697,D,E,Cuadrado,Pisa,7,7,0,6,6,0,13,12,15,-2.0
6672,D,Dc,Idzes,Sassuolo,7,7,0,7,7,0,17,17,18,-1.0
5427,D,Ds;E,Gutierrez,Napoli,7,8,-1,7,8,-1,18,18,,
2640,D,B;Ds;E,Kolasinac,Atalanta,6,7,-1,6,7,-1,15,18,21,-6.0
6916,D,B;Ds;E,Ahanor,Atalanta,6,6,0,6,7,-1,9,12,5,4.0
4461,D,B;Dd;E,Zappa,Cagliari,6,6,0,7,7,0,13,16,16,-3.0
6893,D,Dc,Kempf,Como,6,5,1,6,5,1,15,15,14,1.0
6867,D,Ds;E,Valle,Como,6,6,0,6,6,0,13,13,11,2.0
770,D,Ds;E,Pezzella Giu.,Cremonese,6,5,1,6,5,1,13,13,19,-6.0
4904,D,Dc,Marì,Fiorentina,6,7,-1,6,7,-1,13,13,,
4502,D,Ds;E,Gallo,Lecce,6,5,1,6,5,1,15,15,13,2.0
